id,qualification,place,location,marks,period,description
1,B.Tech in Artificial Intelligence & Data Science,St. Joseph's College of Engineering and Technology (SJCET),Palai,CGPA: 7.02/10,2022 – 2026,"Specialization in Machine Learning, Deep Learning, RAG Pipelines & Computer Vision. Developed projects in edge computing and LLM optimization."
2,Higher Secondary (Grade 12),Chavara CMI Public School,Palai,74%,2020 – 2022,"Focused on Computer Science, Mathematics, Physics, and Chemistry."
3,High School (Grade 10),St. Vincent CMI Residential School,Palai,81%,2020,"Strong foundation in Science, Mathematics, and Computer Fundamentals."
