id,role,company,period,description
1,Software Developer Intern,Hound Mobility,June 2026 – Present,"Built an intelligent site-feasibility platform integrating Google Maps API to extract geospatial data and evaluate locations for EV charging stations. Designed and integrated a weighted deterministic AI model to score station success metrics, reducing manual evaluation cycles."
2,NLP & Data Engineering Intern,AGH Advisors,June 2025 – June 2025,"Automated news extraction from Google News and implemented NLP sentiment analysis pipelines to classify market sentiment dynamically. Engineered an OCR and document intelligence engine parsing scanned PDFs to analyze and categorize exam questions according to Bloom’s Taxonomy."
